"county","proficiency_lp","proficiency_mt","classroom","classroom_used","computers","employees"
4201000,254.778054396226,250.745116698113,11.9,8.7,11.6,27.1
4201257,252.136361761905,257.538393873016,8.35714285714286,7,9.57142857142857,28
4201307,251.7610220625,249.852338950658,7.8,7.08571428571429,18.0285714285714,39.0857142857143
4201406,264.884220193642,265.369382156069,13.4492753623188,8.75714285714286,12.4857142857143,29.6285714285714
4201505,243.876434191011,253.811247078652,5.92857142857143,5.21428571428571,5.35714285714286,17.7142857142857
4201703,248.681196443299,258.384831041237,9.22222222222222,8.77777777777778,9.22222222222222,33.7777777777778
4201901,268.122690366197,274.481389985915,6.375,6,8.625,19.5
4201950,248.507934839623,245.949518575472,8.75,8.625,7.625,42.875
4202008,272.636258159386,271.712199487603,13.8,10.8285714285714,12.4285714285714,52.0142857142857
4202073,249.944032188119,252.658239029703,7.8,6.5,6.7,32.7
4202081,258.053524702703,268.809884216216,7.5,6.25,19,22.5
4202107,256.211741219595,256.633207331081,9.77777777777778,8.14814814814815,12.3703703703704,27.3703703703704
4202131,252.781499957143,256.799168714286,6.33333333333333,5.77777777777778,9.44444444444444,19.3333333333333
4202206,265.493621666667,274.617995675926,3.35483870967742,2.70967741935484,2.51612903225806,8.83870967741935
4202305,260.921302814286,256.155079771429,10.625,8.02439024390244,8.31707317073171,30.390243902439
4202404,275.602538983721,275.903439592691,12.2476635514019,10.7023255813953,19.3023255813953,41.4046511627907
4202453,271.332314988,271.221332396,10.6428571428571,10.1428571428571,11.0714285714286,42.2857142857143
4202503,234.402316461538,241.654182865385,8.83333333333333,8.5,7.16666666666667,24.1666666666667
4202800,257.547181585859,266.73848216835,10.1764705882353,8.76470588235294,7.05882352941176,34.6176470588235
4202859,256.491471240741,265.142412574074,3.625,3.375,6.125,15.625
4202875,266.388283837838,265.718154702703,4.57142857142857,4.14285714285714,8.71428571428571,14.1428571428571
4202909,270.462649391031,272.133918071749,14.0133333333333,12.4342105263158,15.2763157894737,45.6842105263158
4203006,260.861432059269,256.676141485498,28.265625,9.81538461538462,25.8923076923077,36.6307692307692
4203154,239.029453212766,240.359000234043,8,7.33333333333333,6.33333333333333,27
4203204,263.083399265487,261.085062915044,13.3720930232558,11.8139534883721,23.4651162790698,59.3488372093023
4203253,271.130075275862,255.684542517241,10.2,7.2,4.8,22.2
4203303,268.667458444444,274.184064118056,10.7,10.2,12.5,29.9
4203402,243.464987879518,234.375336024096,4.41176470588235,4.23529411764706,5.23529411764706,12.4705882352941
4203501,249.271052142857,257.256808722222,7.76923076923077,7,15.6153846153846,29.7692307692308
4203600,268.233069877193,265.1321658,8.8,7.30434782608696,12.5869565217391,24.304347826087
4203709,236.915026333333,237.760212151515,5.25,4.86363636363636,5.86363636363636,14.5454545454545
4203808,261.838450547196,267.945674444596,9.44262295081967,8.55737704918033,66.4098360655738,31.9016393442623
4203907,279.242331171053,283.953917600877,9.75,7.71428571428571,17.4761904761905,30.4761904761905
4203956,250.150485959184,254.190441234694,9.08333333333333,7.75,7.41666666666667,36.0416666666667
4204103,263.812134428571,263.88353144898,5.625,5.125,11.125,14.5
4204152,236.883467848485,249.435036636364,8.66666666666667,7.33333333333333,19.6666666666667,33.3333333333333
4204202,270.987743548329,269.094344599819,11.8684210526316,10.461038961039,21.0844155844156,42.2727272727273
4204251,270.368540982857,273.717034937143,8.76470588235294,7.58823529411765,9.58823529411765,31.1764705882353
4204301,275.096561140556,276.484196061493,10.6266666666667,9.05263157894737,25,33.0789473684211
4204350,255.987052692308,262.093044057692,10.5,10.5,21.75,32.25
4204400,268.402460175,256.782519075,7.15384615384615,6.28571428571429,9.92857142857143,18.1428571428571
4204459,261.0184465625,263.98407546875,5.5,4.75,16.75,21.5
4204509,277.400014283871,283.484055787097,9.25,8.07692307692308,6.53846153846154,22.6153846153846
4204558,250.522516840909,246.124408448864,11.0384615384615,5.23076923076923,7.88461538461539,18.3846153846154
4204608,263.434025728693,265.077404473722,10.5786163522013,10.1320754716981,26.4150943396226,46.7232704402516
4204707,273.028136650943,279.145392084906,7.69230769230769,6.46153846153846,8.69230769230769,23.9230769230769
4204806,260.50669335503,253.193513057199,11.1081081081081,9.59459459459459,16.3513513513514,30.8108108108108
4204905,269.71413527907,277.743452267442,6.5,6.1,16.2,22.8
4205001,252.261488826087,247.173415413043,7.73684210526316,6.21052631578947,10.8421052631579,24.3684210526316
4205100,272.099671907407,268.793279759259,4.25,4,9.25,16.25
4205308,261.994618694215,266.168413553719,8.9,9.9,14.4,33.1
4205407,259.824356829085,259.677984125562,13.1850649350649,11.4012944983819,23.1359223300971,48.6245954692557
4205456,257.127316577982,255.471133610092,9,8.52173913043478,14.3478260869565,31.0869565217391
4205506,264.348100514056,265.07172911245,9,7.84615384615385,47.6153846153846,32.6666666666667
4205605,256.667420142857,250.713580404762,6.5,6.5,17.75,20.5
4205704,265.789408690265,270.014871451327,7.96153846153846,7.11538461538461,10.9230769230769,25.0384615384615
4205803,264.113050292308,264.682529194872,12.0714285714286,8,6.64285714285714,24.1428571428571
4205902,257.178980855932,263.324720888136,9.42553191489362,9.14893617021277,19.9787234042553,36.7234042553191
4206009,272.826714165289,269.57850422314,6.15789473684211,5.35,5.35,19.3
4206108,250.020312642857,260.627002285714,6.375,6.75,10.75,26.75
4206207,264.555607734513,261.461359168142,6.375,6.25,9.375,26.125
4206306,270.6888172625,275.560742325,9.4,6.90476190476191,11.047619047619,20.4285714285714
4206405,268.966535122449,268.186881918367,7.83333333333333,6,15.0833333333333,19.9166666666667
4206504,256.607728313725,260.035419272059,7.48571428571429,7.11428571428571,10.5142857142857,24.2857142857143
4206652,228.486119317073,232.948297060976,7.11111111111111,6.44444444444444,6.44444444444444,19.4444444444444
4206702,261.57569195082,256.778895008197,10.25,8.5,12.4375,34
4206900,262.813850621005,266.160361858448,12.8947368421053,9.26315789473684,16.5263157894737,36.2631578947368
4207007,269.236780335404,269.222960202899,5.93650793650794,5.453125,8.1875,22.1875
4207106,255.37002239759,260.786323210843,6.94444444444444,6.11111111111111,7.22222222222222,22.8333333333333
4207205,260.762709885246,259.604636532787,8.85714285714286,7.33333333333333,8.33333333333333,26.6666666666667
4207304,264.124432020942,266.699626725131,11.9545454545455,7.06666666666667,7.64444444444444,31.7111111111111
